variable,shap
gestante_Si,0.8908887344810565
edad,0.24114027695287915
semana,0.20822727598256713
hospitalizada_Si,0.19768370002799154
anio,0.17838595303604807
semanas_gestacion,0.1613243826545946
area_residencia_Cabecera,0.08102287508050263
subregion_Medio Sinu,0.0646782037173874
subregion_Sabanas,0.058378477974493505
subregion_Costanera,0.057298797084494604
subregion_Bajo Sinu,0.056664093079846586
regimen_Subsidiado,0.039422868661634414
