AUROC,AUPRC,Brier,Sens,Esp,VPP,VPN,F1,umbral,AUROC_IC,modelo,conjunto,n_var_entrada
0.533179188217761,0.017279246329212364,0.2837529456270453,0.21311475409836064,0.8,0.017082785808147174,0.9842105263157894,0.031630170316301706,0.6170854289014568,0.47-0.60,Regresion logistica,Conservador,7
0.5490378714824231,0.017576097642229165,0.07449509950228869,0.19672131147540983,0.7997326203208556,0.01576872536136662,0.9838815789473684,0.029197080291970802,0.24650788222126624,0.48-0.62,Gradient boosting,Conservador,7
0.8344963618830542,0.07763238202606434,0.1746468092812381,0.5245901639344263,0.8050802139037433,0.04204993429697766,0.9904605263157895,0.07785888077858881,0.5885922470631344,0.80-0.87,Regresion logistica,Completo,10
0.7906395195932322,0.04528351627694194,0.057557596611894954,0.5737704918032787,0.8058823529411765,0.045992115637319315,0.9914473684210526,0.0851581508515815,0.14418653211827354,0.74-0.84,Gradient boosting,Completo,10
